,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
1,[1.e-06 5.e-02],4249,1489,542,15,0,357,349,1843,0.20261913423062933,0.6094091903719913,0.598258977149075
2,[1.e-06 1.e-01],6456,595,600,13,207,220,221,532,0.44875549048316254,0.5894230769230769,0.6263182026593306
4,[2.5e-06 1.0e-02],6032,897,473,13,0,437,338,654,0.32882273342354534,0.5265438786565547,0.5256045519203414
5,[2.5e-06 5.0e-02],6073,833,614,18,0,314,320,672,0.3891625615763547,0.6680761099365751,0.5860700108264164
6,[2.5e-06 1.0e-01],7012,380,603,13,208,229,208,191,0.6068965517241379,0.5849952516619183,0.625
8,[5.e-06 1.e-02],7541,43,563,8,0,597,88,4,0.861236802413273,0.4888698630136986,0.508825786646201
9,[5.e-06 5.e-02],7542,42,575,8,0,582,91,4,0.859882005899705,0.5004291845493563,0.5207373271889401
10,[5.e-06 1.e-01],7560,26,539,7,223,415,71,3,0.8806451612903226,0.46114864864864863,0.58435438265787
