,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
0,[1.e-06 5.e+00],4147,920,714,24,11,155,368,2505,0.20437551924674605,0.8163716814159292,0.7705932565087494
1,[1.e-06 1.e+01],4777,1008,711,23,101,124,312,1788,0.2589978828510939,0.7653806047966631,0.7145738779626828
2,[1.e-06 2.e+01],6208,691,472,13,425,120,231,684,0.3464285714285714,0.470873786407767,0.6331976481230213
6,[2.5e-06 5.0e+00],6182,659,744,25,11,161,332,730,0.4199890770070999,0.8172157279489904,0.6906827612221803
7,[2.5e-06 1.0e+01],6506,586,688,22,108,153,299,482,0.47619047619047616,0.7312049433573635,0.668609865470852
8,[2.5e-06 2.0e+01],7031,375,446,12,432,150,220,178,0.5350467289719626,0.4403846153846154,0.6198406951484432
12,[5.e-06 5.e+00],7563,23,631,7,67,459,91,3,0.8715846994535519,0.5481099656357389,0.6029654036243822
13,[5.e-06 1.e+01],7567,19,538,7,254,375,81,3,0.8664546899841018,0.46422487223168657,0.6148582600195504
