,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
0,[1.e-06 1.e-01],4021,1719,491,14,3,495,259,1842,0.19378357636224097,0.5034895314057827,0.5406639004149377
1,[1.e-06 5.e-01],4666,1573,629,17,101,279,239,1340,0.2903370786516854,0.6296296296296297,0.5457444199166054
2,[1.e-06 1.e+00],5949,920,562,13,262,229,195,714,0.38746630727762804,0.5393996247654784,0.5636156475503228
5,[2.5e-06 1.0e-01],6054,881,561,17,3,406,278,644,0.38533333333333336,0.585612968591692,0.5382131324004306
6,[2.5e-06 5.0e-01],6291,824,620,18,101,290,237,463,0.476831091180867,0.620019436345967,0.5456769983686787
7,[2.5e-06 1.0e+00],6793,513,556,14,262,242,188,276,0.5512572533849129,0.5307262569832403,0.577976523197317
10,[5.e-06 1.e-01],7542,42,559,8,3,596,90,4,0.8577912254160364,0.4862778730703259,0.5088529638183218
11,[5.e-06 5.e-01],7547,37,548,8,101,520,79,4,0.8701095461658842,0.4723874256584537,0.5342809364548495
12,[5.e-06 1.e+00],7554,30,498,8,262,425,63,4,0.8830715532286213,0.42414082145850796,0.5573929961089494
