,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
0,[1.e-06 1.e-08],4116,1002,640,20,0,218,390,2458,0.18814139110604333,0.7517084282460137,0.7419627749576988
1,[1.e-06 5.e-08],5314,952,776,28,6,124,342,1302,0.3284313725490196,0.860813704496788,0.6946651532349603
2,[1.e-06 1.e-07],6335,674,740,19,45,169,294,568,0.46822948797038866,0.7800616649537513,0.6578733766233766
6,[2.5e-06 1.0e-08],6074,736,694,24,0,210,344,762,0.39364035087719296,0.7737068965517241,0.6584837545126354
7,[2.5e-06 5.0e-08],6302,649,764,26,6,154,324,619,0.45585689555683784,0.8315789473684211,0.6833596214511041
8,[2.5e-06 1.0e-07],6676,557,734,20,45,185,284,343,0.5459811730629979,0.766260162601626,0.6504945831370702
12,[5.e-06 1.e-08],7555,28,628,10,18,511,91,3,0.8715846994535519,0.5467009425878321,0.5759244689221086
13,[5.e-06 5.e-08],7558,25,638,10,53,471,86,3,0.8792401628222524,0.552901023890785,0.5977291159772912
14,[5.e-06 1.e-07],7563,23,611,7,111,442,84,3,0.8765957446808511,0.5277540563620837,0.6025641025641025
