,Param Level,Precision,Recall,FPR,Fbeta
9,[3.0e-06 4.0e-07 2.5e-06 5.0e-07 1.0e-01 1.0e-01],0.6138509968520461,0.6068464730290456,0.046700507614213196,0.6124371859296481
10,[3.0e-06 4.5e-07 2.5e-06 5.0e-07 1.0e-01 1.0e-01],0.6138509968520461,0.6068464730290456,0.046700507614213196,0.6124371859296481
11,[3.0e-06 5.0e-07 2.5e-06 5.0e-07 1.0e-01 1.0e-01],0.6138509968520461,0.6068464730290456,0.046700507614213196,0.6124371859296481
0,[3.e-06 4.e-07 2.e-06 5.e-07 1.e-01 1.e-01],0.6147455867082036,0.6141078838174274,0.04708121827411167,0.6146179401993356
1,[3.0e-06 4.5e-07 2.0e-06 5.0e-07 1.0e-01 1.0e-01],0.6147455867082036,0.6141078838174274,0.04708121827411167,0.6146179401993356
2,[3.e-06 5.e-07 2.e-06 5.e-07 1.e-01 1.e-01],0.6147455867082036,0.6141078838174274,0.04708121827411167,0.6146179401993356
18,[3.e-06 4.e-07 3.e-06 5.e-07 1.e-01 1.e-01],0.6153846153846154,0.5975103734439834,0.04568527918781726,0.6117247238742566
19,[3.0e-06 4.5e-07 3.0e-06 5.0e-07 1.0e-01 1.0e-01],0.6153846153846154,0.5975103734439834,0.04568527918781726,0.6117247238742566
20,[3.e-06 5.e-07 3.e-06 5.e-07 1.e-01 1.e-01],0.6153846153846154,0.5975103734439834,0.04568527918781726,0.6117247238742566
12,[4.0e-06 4.0e-07 2.5e-06 5.0e-07 1.0e-01 1.0e-01],0.6221985058697972,0.606029106029106,0.04491245876681045,0.618895966029724
13,[4.0e-06 4.5e-07 2.5e-06 5.0e-07 1.0e-01 1.0e-01],0.6221985058697972,0.606029106029106,0.04491245876681045,0.618895966029724
14,[4.0e-06 5.0e-07 2.5e-06 5.0e-07 1.0e-01 1.0e-01],0.6221985058697972,0.606029106029106,0.04491245876681045,0.618895966029724
21,[4.e-06 4.e-07 3.e-06 5.e-07 1.e-01 1.e-01],0.6222943722943723,0.5970924195223261,0.04428372034005837,0.6170852114187594
22,[4.0e-06 4.5e-07 3.0e-06 5.0e-07 1.0e-01 1.0e-01],0.6222943722943723,0.5970924195223261,0.04428372034005837,0.6170852114187594
23,[4.e-06 5.e-07 3.e-06 5.e-07 1.e-01 1.e-01],0.6222943722943723,0.5970924195223261,0.04428372034005837,0.6170852114187594
3,[4.e-06 4.e-07 2.e-06 5.e-07 1.e-01 1.e-01],0.6236786469344608,0.6133056133056133,0.04516620147170769,0.62157606405394
4,[4.0e-06 4.5e-07 2.0e-06 5.0e-07 1.0e-01 1.0e-01],0.6236786469344608,0.6133056133056133,0.04516620147170769,0.62157606405394
5,[4.e-06 5.e-07 2.e-06 5.e-07 1.e-01 1.e-01],0.6236786469344608,0.6133056133056133,0.04516620147170769,0.62157606405394
24,[5.e-06 4.e-07 3.e-06 5.e-07 1.e-01 1.e-01],0.6510297482837528,0.5896373056994819,0.03871049625587004,0.6377493835462901
25,[5.0e-06 4.5e-07 3.0e-06 5.0e-07 1.0e-01 1.0e-01],0.6510297482837528,0.5896373056994819,0.03871049625587004,0.6377493835462901
26,[5.e-06 5.e-07 3.e-06 5.e-07 1.e-01 1.e-01],0.6510297482837528,0.5896373056994819,0.03871049625587004,0.6377493835462901
15,[5.0e-06 4.0e-07 2.5e-06 5.0e-07 1.0e-01 1.0e-01],0.6519274376417233,0.5970924195223261,0.03895444740515163,0.6401692273435761
16,[5.0e-06 4.5e-07 2.5e-06 5.0e-07 1.0e-01 1.0e-01],0.6519274376417233,0.5970924195223261,0.03895444740515163,0.6401692273435761
17,[5.0e-06 5.0e-07 2.5e-06 5.0e-07 1.0e-01 1.0e-01],0.6519274376417233,0.5970924195223261,0.03895444740515163,0.6401692273435761
6,[5.e-06 4.e-07 2.e-06 5.e-07 1.e-01 1.e-01],0.6539325842696629,0.6037344398340249,0.03908629441624366,0.6432360742705571
7,[5.0e-06 4.5e-07 2.0e-06 5.0e-07 1.0e-01 1.0e-01],0.6539325842696629,0.6037344398340249,0.03908629441624366,0.6432360742705571
8,[5.e-06 5.e-07 2.e-06 5.e-07 1.e-01 1.e-01],0.6539325842696629,0.6037344398340249,0.03908629441624366,0.6432360742705571
81,[3.0e-06 4.0e-07 2.0e-06 5.0e-07 1.5e-01 1.0e-01],0.6672354948805461,0.35384615384615387,0.02519705388293061,0.5668309654972455
82,[3.0e-06 4.5e-07 2.0e-06 5.0e-07 1.5e-01 1.0e-01],0.6672354948805461,0.35384615384615387,0.02519705388293061,0.5668309654972455
83,[3.0e-06 5.0e-07 2.0e-06 5.0e-07 1.5e-01 1.0e-01],0.6672354948805461,0.35384615384615387,0.02519705388293061,0.5668309654972455
90,[3.0e-06 4.0e-07 2.5e-06 5.0e-07 1.5e-01 1.0e-01],0.6689536878216124,0.35294117647058826,0.0249386225610544,0.5673552516729705
91,[3.0e-06 4.5e-07 2.5e-06 5.0e-07 1.5e-01 1.0e-01],0.6689536878216124,0.35294117647058826,0.0249386225610544,0.5673552516729705
92,[3.0e-06 5.0e-07 2.5e-06 5.0e-07 1.5e-01 1.0e-01],0.6689536878216124,0.35294117647058826,0.0249386225610544,0.5673552516729705
99,[3.0e-06 4.0e-07 3.0e-06 5.0e-07 1.5e-01 1.0e-01],0.6747826086956522,0.3508137432188065,0.024166451279400362,0.5695830886670581
100,[3.0e-06 4.5e-07 3.0e-06 5.0e-07 1.5e-01 1.0e-01],0.6747826086956522,0.3508137432188065,0.024166451279400362,0.5695830886670581
101,[3.0e-06 5.0e-07 3.0e-06 5.0e-07 1.5e-01 1.0e-01],0.6747826086956522,0.3508137432188065,0.024166451279400362,0.5695830886670581
84,[4.0e-06 4.0e-07 2.0e-06 5.0e-07 1.5e-01 1.0e-01],0.6813380281690141,0.3502262443438914,0.023388034629797133,0.5729937814628369
85,[4.0e-06 4.5e-07 2.0e-06 5.0e-07 1.5e-01 1.0e-01],0.6813380281690141,0.3502262443438914,0.023388034629797133,0.5729937814628369
86,[4.0e-06 5.0e-07 2.0e-06 5.0e-07 1.5e-01 1.0e-01],0.6813380281690141,0.3502262443438914,0.023388034629797133,0.5729937814628369
93,[4.0e-06 4.0e-07 2.5e-06 5.0e-07 1.5e-01 1.0e-01],0.6813380281690141,0.3502262443438914,0.023388034629797133,0.5729937814628369
94,[4.0e-06 4.5e-07 2.5e-06 5.0e-07 1.5e-01 1.0e-01],0.6813380281690141,0.3502262443438914,0.023388034629797133,0.5729937814628369
95,[4.0e-06 5.0e-07 2.5e-06 5.0e-07 1.5e-01 1.0e-01],0.6813380281690141,0.3502262443438914,0.023388034629797133,0.5729937814628369
102,[4.0e-06 4.0e-07 3.0e-06 5.0e-07 1.5e-01 1.0e-01],0.6831858407079646,0.34900542495479203,0.023132592401137245,0.5733808674985146
103,[4.0e-06 4.5e-07 3.0e-06 5.0e-07 1.5e-01 1.0e-01],0.6831858407079646,0.34900542495479203,0.023132592401137245,0.5733808674985146
104,[4.0e-06 5.0e-07 3.0e-06 5.0e-07 1.5e-01 1.0e-01],0.6831858407079646,0.34900542495479203,0.023132592401137245,0.5733808674985146
87,[5.0e-06 4.0e-07 2.0e-06 5.0e-07 1.5e-01 1.0e-01],0.7100371747211895,0.34507678410117437,0.02016285381930981,0.5860693464252839
88,[5.0e-06 4.5e-07 2.0e-06 5.0e-07 1.5e-01 1.0e-01],0.7100371747211895,0.34507678410117437,0.02016285381930981,0.5860693464252839
89,[5.0e-06 5.0e-07 2.0e-06 5.0e-07 1.5e-01 1.0e-01],0.7100371747211895,0.34507678410117437,0.02016285381930981,0.5860693464252839
96,[5.0e-06 4.0e-07 2.5e-06 5.0e-07 1.5e-01 1.0e-01],0.7100371747211895,0.34507678410117437,0.02016285381930981,0.5860693464252839
97,[5.0e-06 4.5e-07 2.5e-06 5.0e-07 1.5e-01 1.0e-01],0.7100371747211895,0.34507678410117437,0.02016285381930981,0.5860693464252839
98,[5.0e-06 5.0e-07 2.5e-06 5.0e-07 1.5e-01 1.0e-01],0.7100371747211895,0.34507678410117437,0.02016285381930981,0.5860693464252839
105,[5.0e-06 4.0e-07 3.0e-06 5.0e-07 1.5e-01 1.0e-01],0.7100371747211895,0.34507678410117437,0.02016285381930981,0.5860693464252839
106,[5.0e-06 4.5e-07 3.0e-06 5.0e-07 1.5e-01 1.0e-01],0.7100371747211895,0.34507678410117437,0.02016285381930981,0.5860693464252839
107,[5.0e-06 5.0e-07 3.0e-06 5.0e-07 1.5e-01 1.0e-01],0.7100371747211895,0.34507678410117437,0.02016285381930981,0.5860693464252839
117,[3.0e-06 4.0e-07 2.5e-06 1.0e-06 1.5e-01 1.0e-01],0.7320261437908496,0.29473684210526313,0.015965732087227413,0.5645161290322581
118,[3.0e-06 4.5e-07 2.5e-06 1.0e-06 1.5e-01 1.0e-01],0.7320261437908496,0.29473684210526313,0.015965732087227413,0.5645161290322581
119,[3.0e-06 5.0e-07 2.5e-06 1.0e-06 1.5e-01 1.0e-01],0.7320261437908496,0.29473684210526313,0.015965732087227413,0.5645161290322581
126,[3.0e-06 4.0e-07 3.0e-06 1.0e-06 1.5e-01 1.0e-01],0.7320261437908496,0.29473684210526313,0.015965732087227413,0.5645161290322581
127,[3.0e-06 4.5e-07 3.0e-06 1.0e-06 1.5e-01 1.0e-01],0.7320261437908496,0.29473684210526313,0.015965732087227413,0.5645161290322581
128,[3.0e-06 5.0e-07 3.0e-06 1.0e-06 1.5e-01 1.0e-01],0.7320261437908496,0.29473684210526313,0.015965732087227413,0.5645161290322581
108,[3.0e-06 4.0e-07 2.0e-06 1.0e-06 1.5e-01 1.0e-01],0.7326086956521739,0.2956140350877193,0.015965732087227413,0.5654362416107382
109,[3.0e-06 4.5e-07 2.0e-06 1.0e-06 1.5e-01 1.0e-01],0.7326086956521739,0.2956140350877193,0.015965732087227413,0.5654362416107382
110,[3.0e-06 5.0e-07 2.0e-06 1.0e-06 1.5e-01 1.0e-01],0.7326086956521739,0.2956140350877193,0.015965732087227413,0.5654362416107382
120,[4.0e-06 4.0e-07 2.5e-06 1.0e-06 1.5e-01 1.0e-01],0.7336244541484717,0.29473684210526313,0.015835929387331256,0.5652759084791386
121,[4.0e-06 4.5e-07 2.5e-06 1.0e-06 1.5e-01 1.0e-01],0.7336244541484717,0.29473684210526313,0.015835929387331256,0.5652759084791386
122,[4.0e-06 5.0e-07 2.5e-06 1.0e-06 1.5e-01 1.0e-01],0.7336244541484717,0.29473684210526313,0.015835929387331256,0.5652759084791386
129,[4.0e-06 4.0e-07 3.0e-06 1.0e-06 1.5e-01 1.0e-01],0.7336244541484717,0.29473684210526313,0.015835929387331256,0.5652759084791386
130,[4.0e-06 4.5e-07 3.0e-06 1.0e-06 1.5e-01 1.0e-01],0.7336244541484717,0.29473684210526313,0.015835929387331256,0.5652759084791386
131,[4.0e-06 5.0e-07 3.0e-06 1.0e-06 1.5e-01 1.0e-01],0.7336244541484717,0.29473684210526313,0.015835929387331256,0.5652759084791386
111,[4.0e-06 4.0e-07 2.0e-06 1.0e-06 1.5e-01 1.0e-01],0.7342047930283224,0.2956140350877193,0.015835929387331256,0.5661962365591398
112,[4.0e-06 4.5e-07 2.0e-06 1.0e-06 1.5e-01 1.0e-01],0.7342047930283224,0.2956140350877193,0.015835929387331256,0.5661962365591398
113,[4.0e-06 5.0e-07 2.0e-06 1.0e-06 1.5e-01 1.0e-01],0.7342047930283224,0.2956140350877193,0.015835929387331256,0.5661962365591398
123,[5.0e-06 4.0e-07 2.5e-06 1.0e-06 1.5e-01 1.0e-01],0.7352297592997812,0.29473684210526313,0.0157061266874351,0.5660377358490566
124,[5.0e-06 4.5e-07 2.5e-06 1.0e-06 1.5e-01 1.0e-01],0.7352297592997812,0.29473684210526313,0.0157061266874351,0.5660377358490566
125,[5.0e-06 5.0e-07 2.5e-06 1.0e-06 1.5e-01 1.0e-01],0.7352297592997812,0.29473684210526313,0.0157061266874351,0.5660377358490566
132,[5.0e-06 4.0e-07 3.0e-06 1.0e-06 1.5e-01 1.0e-01],0.7352297592997812,0.29473684210526313,0.0157061266874351,0.5660377358490566
133,[5.0e-06 4.5e-07 3.0e-06 1.0e-06 1.5e-01 1.0e-01],0.7352297592997812,0.29473684210526313,0.0157061266874351,0.5660377358490566
134,[5.0e-06 5.0e-07 3.0e-06 1.0e-06 1.5e-01 1.0e-01],0.7352297592997812,0.29473684210526313,0.0157061266874351,0.5660377358490566
114,[5.0e-06 4.0e-07 2.0e-06 1.0e-06 1.5e-01 1.0e-01],0.7358078602620087,0.2956140350877193,0.0157061266874351,0.5669582772543741
115,[5.0e-06 4.5e-07 2.0e-06 1.0e-06 1.5e-01 1.0e-01],0.7358078602620087,0.2956140350877193,0.0157061266874351,0.5669582772543741
116,[5.0e-06 5.0e-07 2.0e-06 1.0e-06 1.5e-01 1.0e-01],0.7358078602620087,0.2956140350877193,0.0157061266874351,0.5669582772543741
36,[3.0e-06 4.0e-07 2.5e-06 1.0e-06 1.0e-01 1.0e-01],0.7369439071566731,0.3377659574468085,0.01762571280456195,0.5960575719649562
37,[3.0e-06 4.5e-07 2.5e-06 1.0e-06 1.0e-01 1.0e-01],0.7369439071566731,0.3377659574468085,0.01762571280456195,0.5960575719649562
38,[3.0e-06 5.0e-07 2.5e-06 1.0e-06 1.0e-01 1.0e-01],0.7369439071566731,0.3377659574468085,0.01762571280456195,0.5960575719649562
45,[3.e-06 4.e-07 3.e-06 1.e-06 1.e-01 1.e-01],0.7369439071566731,0.3377659574468085,0.01762571280456195,0.5960575719649562
46,[3.0e-06 4.5e-07 3.0e-06 1.0e-06 1.0e-01 1.0e-01],0.7369439071566731,0.3377659574468085,0.01762571280456195,0.5960575719649562
47,[3.e-06 5.e-07 3.e-06 1.e-06 1.e-01 1.e-01],0.7369439071566731,0.3377659574468085,0.01762571280456195,0.5960575719649562
27,[3.e-06 4.e-07 2.e-06 1.e-06 1.e-01 1.e-01],0.7374517374517374,0.33865248226950356,0.01762571280456195,0.596875
28,[3.0e-06 4.5e-07 2.0e-06 1.0e-06 1.0e-01 1.0e-01],0.7374517374517374,0.33865248226950356,0.01762571280456195,0.596875
29,[3.e-06 5.e-07 2.e-06 1.e-06 1.e-01 1.e-01],0.7374517374517374,0.33865248226950356,0.01762571280456195,0.596875
39,[4.0e-06 4.0e-07 2.5e-06 1.0e-06 1.0e-01 1.0e-01],0.7383720930232558,0.3377659574468085,0.017496111975116642,0.5968045112781954
40,[4.0e-06 4.5e-07 2.5e-06 1.0e-06 1.0e-01 1.0e-01],0.7383720930232558,0.3377659574468085,0.017496111975116642,0.5968045112781954
41,[4.0e-06 5.0e-07 2.5e-06 1.0e-06 1.0e-01 1.0e-01],0.7383720930232558,0.3377659574468085,0.017496111975116642,0.5968045112781954
48,[4.e-06 4.e-07 3.e-06 1.e-06 1.e-01 1.e-01],0.7383720930232558,0.3377659574468085,0.017496111975116642,0.5968045112781954
49,[4.0e-06 4.5e-07 3.0e-06 1.0e-06 1.0e-01 1.0e-01],0.7383720930232558,0.3377659574468085,0.017496111975116642,0.5968045112781954
50,[4.e-06 5.e-07 3.e-06 1.e-06 1.e-01 1.e-01],0.7383720930232558,0.3377659574468085,0.017496111975116642,0.5968045112781954
30,[4.e-06 4.e-07 2.e-06 1.e-06 1.e-01 1.e-01],0.7388781431334622,0.33865248226950356,0.017496111975116642,0.597622027534418
31,[4.0e-06 4.5e-07 2.0e-06 1.0e-06 1.0e-01 1.0e-01],0.7388781431334622,0.33865248226950356,0.017496111975116642,0.597622027534418
32,[4.e-06 5.e-07 2.e-06 1.e-06 1.e-01 1.e-01],0.7388781431334622,0.33865248226950356,0.017496111975116642,0.597622027534418
42,[5.0e-06 4.0e-07 2.5e-06 1.0e-06 1.0e-01 1.0e-01],0.7398058252427184,0.3377659574468085,0.017366511145671334,0.5975533249686322
43,[5.0e-06 4.5e-07 2.5e-06 1.0e-06 1.0e-01 1.0e-01],0.7398058252427184,0.3377659574468085,0.017366511145671334,0.5975533249686322
44,[5.0e-06 5.0e-07 2.5e-06 1.0e-06 1.0e-01 1.0e-01],0.7398058252427184,0.3377659574468085,0.017366511145671334,0.5975533249686322
51,[5.e-06 4.e-07 3.e-06 1.e-06 1.e-01 1.e-01],0.7398058252427184,0.3377659574468085,0.017366511145671334,0.5975533249686322
52,[5.0e-06 4.5e-07 3.0e-06 1.0e-06 1.0e-01 1.0e-01],0.7398058252427184,0.3377659574468085,0.017366511145671334,0.5975533249686322
53,[5.e-06 5.e-07 3.e-06 1.e-06 1.e-01 1.e-01],0.7398058252427184,0.3377659574468085,0.017366511145671334,0.5975533249686322
33,[5.e-06 4.e-07 2.e-06 1.e-06 1.e-01 1.e-01],0.7403100775193798,0.33865248226950356,0.017366511145671334,0.5983709273182958
34,[5.0e-06 4.5e-07 2.0e-06 1.0e-06 1.0e-01 1.0e-01],0.7403100775193798,0.33865248226950356,0.017366511145671334,0.5983709273182958
35,[5.e-06 5.e-07 2.e-06 1.e-06 1.e-01 1.e-01],0.7403100775193798,0.33865248226950356,0.017366511145671334,0.5983709273182958
162,[3.e-06 4.e-07 2.e-06 5.e-07 2.e-01 1.e-01],0.7509881422924901,0.15873015873015872,0.00823852491173009,0.4300588501584427
163,[3.0e-06 4.5e-07 2.0e-06 5.0e-07 2.0e-01 1.0e-01],0.7509881422924901,0.15873015873015872,0.00823852491173009,0.4300588501584427
164,[3.e-06 5.e-07 2.e-06 5.e-07 2.e-01 1.e-01],0.7509881422924901,0.15873015873015872,0.00823852491173009,0.4300588501584427
171,[3.0e-06 4.0e-07 2.5e-06 5.0e-07 2.0e-01 1.0e-01],0.7509881422924901,0.15873015873015872,0.00823852491173009,0.4300588501584427
172,[3.0e-06 4.5e-07 2.5e-06 5.0e-07 2.0e-01 1.0e-01],0.7509881422924901,0.15873015873015872,0.00823852491173009,0.4300588501584427
173,[3.0e-06 5.0e-07 2.5e-06 5.0e-07 2.0e-01 1.0e-01],0.7509881422924901,0.15873015873015872,0.00823852491173009,0.4300588501584427
180,[3.e-06 4.e-07 3.e-06 5.e-07 2.e-01 1.e-01],0.7569721115537849,0.15873015873015872,0.007976984438341833,0.43162199000454343
181,[3.0e-06 4.5e-07 3.0e-06 5.0e-07 2.0e-01 1.0e-01],0.7569721115537849,0.15873015873015872,0.007976984438341833,0.43162199000454343
182,[3.e-06 5.e-07 3.e-06 5.e-07 2.e-01 1.e-01],0.7569721115537849,0.15873015873015872,0.007976984438341833,0.43162199000454343
165,[4.e-06 4.e-07 2.e-06 5.e-07 2.e-01 1.e-01],0.7620967741935484,0.15789473684210525,0.007715443964953577,0.43170397441754227
166,[4.0e-06 4.5e-07 2.0e-06 5.0e-07 2.0e-01 1.0e-01],0.7620967741935484,0.15789473684210525,0.007715443964953577,0.43170397441754227
167,[4.e-06 5.e-07 2.e-06 5.e-07 2.e-01 1.e-01],0.7620967741935484,0.15789473684210525,0.007715443964953577,0.43170397441754227
174,[4.0e-06 4.0e-07 2.5e-06 5.0e-07 2.0e-01 1.0e-01],0.7620967741935484,0.15789473684210525,0.007715443964953577,0.43170397441754227
175,[4.0e-06 4.5e-07 2.5e-06 5.0e-07 2.0e-01 1.0e-01],0.7620967741935484,0.15789473684210525,0.007715443964953577,0.43170397441754227
176,[4.0e-06 5.0e-07 2.5e-06 5.0e-07 2.0e-01 1.0e-01],0.7620967741935484,0.15789473684210525,0.007715443964953577,0.43170397441754227
183,[4.e-06 4.e-07 3.e-06 5.e-07 2.e-01 1.e-01],0.7620967741935484,0.15789473684210525,0.007715443964953577,0.43170397441754227
184,[4.0e-06 4.5e-07 3.0e-06 5.0e-07 2.0e-01 1.0e-01],0.7620967741935484,0.15789473684210525,0.007715443964953577,0.43170397441754227
185,[4.e-06 5.e-07 3.e-06 5.e-07 2.e-01 1.e-01],0.7620967741935484,0.15789473684210525,0.007715443964953577,0.43170397441754227
189,[3.e-06 4.e-07 2.e-06 1.e-06 2.e-01 1.e-01],0.7673469387755102,0.15679733110925773,0.007455853499018967,0.43139054612207434
190,[3.0e-06 4.5e-07 2.0e-06 1.0e-06 2.0e-01 1.0e-01],0.7673469387755102,0.15679733110925773,0.007455853499018967,0.43139054612207434
191,[3.e-06 5.e-07 2.e-06 1.e-06 2.e-01 1.e-01],0.7673469387755102,0.15679733110925773,0.007455853499018967,0.43139054612207434
198,[3.0e-06 4.0e-07 2.5e-06 1.0e-06 2.0e-01 1.0e-01],0.7673469387755102,0.15679733110925773,0.007455853499018967,0.43139054612207434
199,[3.0e-06 4.5e-07 2.5e-06 1.0e-06 2.0e-01 1.0e-01],0.7673469387755102,0.15679733110925773,0.007455853499018967,0.43139054612207434
200,[3.0e-06 5.0e-07 2.5e-06 1.0e-06 2.0e-01 1.0e-01],0.7673469387755102,0.15679733110925773,0.007455853499018967,0.43139054612207434
207,[3.e-06 4.e-07 3.e-06 1.e-06 2.e-01 1.e-01],0.7673469387755102,0.15679733110925773,0.007455853499018967,0.43139054612207434
208,[3.0e-06 4.5e-07 3.0e-06 1.0e-06 2.0e-01 1.0e-01],0.7673469387755102,0.15679733110925773,0.007455853499018967,0.43139054612207434
209,[3.e-06 5.e-07 3.e-06 1.e-06 2.e-01 1.e-01],0.7673469387755102,0.15679733110925773,0.007455853499018967,0.43139054612207434
192,[4.e-06 4.e-07 2.e-06 1.e-06 2.e-01 1.e-01],0.7704918032786885,0.15679733110925773,0.007325049051667757,0.4321839080459771
193,[4.0e-06 4.5e-07 2.0e-06 1.0e-06 2.0e-01 1.0e-01],0.7704918032786885,0.15679733110925773,0.007325049051667757,0.4321839080459771
194,[4.e-06 5.e-07 2.e-06 1.e-06 2.e-01 1.e-01],0.7704918032786885,0.15679733110925773,0.007325049051667757,0.4321839080459771
201,[4.0e-06 4.0e-07 2.5e-06 1.0e-06 2.0e-01 1.0e-01],0.7704918032786885,0.15679733110925773,0.007325049051667757,0.4321839080459771
202,[4.0e-06 4.5e-07 2.5e-06 1.0e-06 2.0e-01 1.0e-01],0.7704918032786885,0.15679733110925773,0.007325049051667757,0.4321839080459771
203,[4.0e-06 5.0e-07 2.5e-06 1.0e-06 2.0e-01 1.0e-01],0.7704918032786885,0.15679733110925773,0.007325049051667757,0.4321839080459771
210,[4.e-06 4.e-07 3.e-06 1.e-06 2.e-01 1.e-01],0.7704918032786885,0.15679733110925773,0.007325049051667757,0.4321839080459771
211,[4.0e-06 4.5e-07 3.0e-06 1.0e-06 2.0e-01 1.0e-01],0.7704918032786885,0.15679733110925773,0.007325049051667757,0.4321839080459771
212,[4.e-06 5.e-07 3.e-06 1.e-06 2.e-01 1.e-01],0.7704918032786885,0.15679733110925773,0.007325049051667757,0.4321839080459771
168,[5.e-06 4.e-07 2.e-06 5.e-07 2.e-01 1.e-01],0.7745901639344263,0.15763135946622187,0.007194244604316547,0.4344827586206897
169,[5.0e-06 4.5e-07 2.0e-06 5.0e-07 2.0e-01 1.0e-01],0.7745901639344263,0.15763135946622187,0.007194244604316547,0.4344827586206897
170,[5.e-06 5.e-07 2.e-06 5.e-07 2.e-01 1.e-01],0.7745901639344263,0.15763135946622187,0.007194244604316547,0.4344827586206897
177,[5.0e-06 4.0e-07 2.5e-06 5.0e-07 2.0e-01 1.0e-01],0.7745901639344263,0.15763135946622187,0.007194244604316547,0.4344827586206897
178,[5.0e-06 4.5e-07 2.5e-06 5.0e-07 2.0e-01 1.0e-01],0.7745901639344263,0.15763135946622187,0.007194244604316547,0.4344827586206897
179,[5.0e-06 5.0e-07 2.5e-06 5.0e-07 2.0e-01 1.0e-01],0.7745901639344263,0.15763135946622187,0.007194244604316547,0.4344827586206897
186,[5.e-06 4.e-07 3.e-06 5.e-07 2.e-01 1.e-01],0.7745901639344263,0.15763135946622187,0.007194244604316547,0.4344827586206897
187,[5.0e-06 4.5e-07 3.0e-06 5.0e-07 2.0e-01 1.0e-01],0.7745901639344263,0.15763135946622187,0.007194244604316547,0.4344827586206897
188,[5.e-06 5.e-07 3.e-06 5.e-07 2.e-01 1.e-01],0.7745901639344263,0.15763135946622187,0.007194244604316547,0.4344827586206897
195,[5.e-06 4.e-07 2.e-06 1.e-06 2.e-01 1.e-01],0.7768595041322314,0.15666666666666668,0.00706436420722135,0.433579335793358
196,[5.0e-06 4.5e-07 2.0e-06 1.0e-06 2.0e-01 1.0e-01],0.7768595041322314,0.15666666666666668,0.00706436420722135,0.433579335793358
197,[5.e-06 5.e-07 2.e-06 1.e-06 2.e-01 1.e-01],0.7768595041322314,0.15666666666666668,0.00706436420722135,0.433579335793358
204,[5.0e-06 4.0e-07 2.5e-06 1.0e-06 2.0e-01 1.0e-01],0.7768595041322314,0.15666666666666668,0.00706436420722135,0.433579335793358
205,[5.0e-06 4.5e-07 2.5e-06 1.0e-06 2.0e-01 1.0e-01],0.7768595041322314,0.15666666666666668,0.00706436420722135,0.433579335793358
206,[5.0e-06 5.0e-07 2.5e-06 1.0e-06 2.0e-01 1.0e-01],0.7768595041322314,0.15666666666666668,0.00706436420722135,0.433579335793358
213,[5.e-06 4.e-07 3.e-06 1.e-06 2.e-01 1.e-01],0.7768595041322314,0.15666666666666668,0.00706436420722135,0.433579335793358
214,[5.0e-06 4.5e-07 3.0e-06 1.0e-06 2.0e-01 1.0e-01],0.7768595041322314,0.15666666666666668,0.00706436420722135,0.433579335793358
215,[5.e-06 5.e-07 3.e-06 1.e-06 2.e-01 1.e-01],0.7768595041322314,0.15666666666666668,0.00706436420722135,0.433579335793358
243,[3.0e-06 4.0e-07 2.0e-06 5.0e-07 1.0e-01 2.5e-01],0.7958477508650519,0.1913477537437604,0.007720492017796388,0.48770144189991516
244,[3.0e-06 4.5e-07 2.0e-06 5.0e-07 1.0e-01 2.5e-01],0.7958477508650519,0.1913477537437604,0.007720492017796388,0.48770144189991516
