,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
0,[1.e-06 1.e+47],4401,2196,317,8,23,658,250,991,0.20753512132822477,0.3230616302186879,0.35429864253393667
1,[1.e-06 3.e+47],5222,1829,456,11,35,608,149,534,0.40608695652173915,0.4207207207207207,0.3206021745190967
2,[1.e-06 5.e+47],6200,1133,458,6,99,585,106,257,0.5610640870616687,0.40418118466898956,0.324950884086444
3,[1.e-06 7.e+47],6876,599,403,6,230,538,77,115,0.6805324459234608,0.34749362786745963,0.3457997698504028
4,[2.5e-06 1.0e+47],6161,1077,471,9,24,588,165,349,0.482897384305835,0.43956043956043955,0.37382474614516736
5,[2.5e-06 3.0e+47],6371,1010,502,12,36,594,116,203,0.617046818727491,0.4493006993006993,0.34181370537546163
6,[2.5e-06 5.0e+47],6815,679,471,5,103,584,90,97,0.717948717948718,0.40928632846087704,0.3442367601246106
7,[2.5e-06 7.0e+47],7186,355,408,6,237,533,70,49,0.776735459662289,0.34966216216216217,0.3750879662209711
10,[5.e-06 5.e+47],7570,21,456,4,158,596,38,1,0.9218436873747495,0.37891268533772654,0.44713261648745517
11,[5.e-06 7.e+47],7572,19,396,4,283,533,36,1,0.9153318077803204,0.32894736842105265,0.4418604651162791
12,[7.5e-06 1.0e+47],7583,10,368,3,538,335,7,0,0.9814814814814815,0.2982315112540193,0.5228215767634855
13,[7.5e-06 3.0e+47],7583,10,361,3,544,336,7,0,0.9811320754716981,0.29260450160771706,0.5174337517433751
14,[7.5e-06 5.0e+47],7584,9,348,3,560,332,8,0,0.9777158774373259,0.2823813354786806,0.5128571428571429
15,[7.5e-06 7.0e+47],7584,9,322,3,609,309,8,0,0.975975975975976,0.2614641995172969,0.511520737327189
