,Flare_Number,Flare_ID,Trigger_Time,Max_FOXSI,Mean_FOXSI,Max_HiC,Mean_HiC,Max_FOXSI_C5,Mean_FOXSI_C5,Max_HiC_C5,Mean_HiC_C5,Flare_C5,Flare_Class,Flare_Max_Flux,Peak_Time,Start_to_Peak,Background_Flux
29,342.0,201704071942.0,544866480.0,1.80276788341871e-06,1.791215595403628e-06,1.80276788341871e-06,1.777899910848646e-06,False,False,False,False,True,C6.7,6.7087285e-06,2017-04-07T19:49:00.000,7.0,1.448794506586637e-07
30,402.0,201704180924.0,545780400.0,4.146159881202038e-06,3.5281298096379032e-06,3.6607275433198083e-06,3.043134938707226e-06,False,False,False,False,True,C5.1,5.162689e-06,2017-04-18T09:41:00.000,17.0,1.1838033486810673e-07
31,404.0,201704181915.0,545817360.0,8.456479008600581e-06,8.349164090759587e-06,8.465313840133604e-06,8.41767541714944e-06,True,True,True,True,True,C8.4,8.455594e-06,2017-04-18T20:10:00.000,55.0,2.1760841661944141e-07
32,496.0,201705281920.0,549271620.0,3.0679007068101782e-06,2.513816298232996e-06,2.551281113483128e-06,2.1927082798356423e-06,False,False,False,False,True,C5.1,5.1908414e-06,2017-05-28T19:28:00.000,8.0,1.421961002279204e-07
34,534.0,201706010137.0,549553260.0,7.640626790816896e-06,5.9768462961073965e-06,6.359407507261494e-06,4.708204414782813e-06,True,True,True,False,True,M1.0,1.0207464e-05,2017-06-01T01:43:00.000,6.0,9.444300417271734e-07
35,567.0,201706021751.0,549698100.0,5.2572108870663214e-06,4.167033239355078e-06,4.416915544425137e-06,3.3419094052078435e-06,True,False,False,False,True,,1.24234975e-05,2017-06-02T17:57:00.000,6.0,1.9842894971588976e-07
37,700.0,201707031605.0,552370380.0,4.131315108679701e-06,3.767989028347074e-06,4.009551048511639e-06,3.7087138480274007e-06,False,False,False,False,True,M2.0,2.035344e-05,2017-07-03T16:15:00.000,10.0,9.326345775662048e-07
38,783.0,201707082344.0,552829980.0,8.241403293141047e-07,6.204150508892781e-07,6.22784909865004e-07,5.189696139495936e-07,False,False,False,False,True,C5.4,5.4071425e-06,2017-07-08T23:53:00.000,9.0,4.367742008071218e-07
40,788.0,201707090309.0,552842160.0,1.6172969480976462e-05,1.4732272575201932e-05,1.5338693629018962e-05,1.3662110177392606e-05,True,True,True,True,False,,4.794067e-07,2017-07-09T03:10:00.000,1.0,4.957967689733778e-07
41,795.0,201707090855.0,552863100.0,6.218664111656835e-06,4.637925030692713e-06,4.925208486383781e-06,3.5286623187857913e-06,True,False,False,False,True,,6.3195857e-06,2017-07-09T09:12:00.000,17.0,1.3634291917696828e-06
42,798.0,201707091143.0,552873540.0,8.214929948735517e-06,8.13496171758743e-06,8.214929948735517e-06,8.045673894230276e-06,True,True,True,True,True,,8.21493e-06,2017-07-09T12:12:00.000,29.0,2.589778489436867e-07
44,842.0,201707132001.0,553248240.0,4.6406562432821374e-06,2.8008550998492865e-06,2.7392388801672496e-06,1.943466713782982e-06,False,False,False,False,True,M1.2,1.2766834e-05,2017-07-13T20:05:00.000,4.0,5.399061251409876e-07
46,846.0,201707132146.0,553254840.0,2.462147449477925e-06,1.8534225318944664e-06,1.9179785795131465e-06,1.4656503708465607e-06,False,False,False,False,True,C9.3,9.327229e-06,2017-07-13T21:55:00.000,9.0,4.949567937728716e-07
47,848.0,201707140105.0,553267260.0,1.5454446838703007e-05,1.3032269635004923e-05,1.8713784811552614e-05,1.5173190149653237e-05,True,True,True,True,True,M3.7,3.765344e-05,2017-07-14T02:09:00.000,64.0,2.1537948668992613e-06
48,868.0,201707151920.0,553419180.0,6.1349524003162514e-06,4.467538474273169e-06,4.7395033107022755e-06,3.285112370576826e-06,True,False,False,False,True,C9.0,9.0573485e-06,2017-07-15T19:36:00.000,16.0,3.366514249592001e-07
49,1039.0,201708181944.0,556358160.0,6.897250386828091e-06,6.745100108673796e-06,6.8109775384073146e-06,6.5371700657124165e-06,True,True,True,True,True,C6.9,6.9565394e-06,2017-08-18T20:02:00.000,18.0,6.333386863843771e-07
51,1043.0,201708190126.0,556378500.0,4.985559371561976e-06,4.38041251982213e-06,4.570279088511597e-06,3.8614816730841994e-06,False,False,False,False,True,C5.5,5.571371e-06,2017-08-19T01:37:00.000,11.0,5.053243512520567e-07
52,1060.0,201708192124.0,556451040.0,1.1238476872676983e-05,1.102430178434588e-05,1.1238476872676983e-05,1.0572462088020984e-05,True,True,True,True,True,M1.1,1.1198944e-05,2017-08-19T21:55:00.000,31.0,6.571296466972854e-07
53,1062.0,201708200134.0,556465440.0,1.8718879800871946e-05,1.7202402887050994e-05,1.792889270291198e-05,1.5511983292526565e-05,True,True,True,True,True,M1.8,1.8591947e-05,2017-08-20T01:52:00.000,18.0,8.63975401443895e-07
54,1073.0,201708201914.0,556529160.0,1.5205564523057546e-05,1.4824428944848478e-05,1.5205564523057546e-05,1.4781852769374382e-05,True,True,True,True,True,M1.5,1.50812675e-05,2017-08-20T19:39:00.000,25.0,9.522846653453598e-07
55,1077.0,201708210303.0,556557120.0,7.941504009068012e-06,7.042126071610255e-06,7.091150564519921e-06,6.443367510655662e-06,True,True,True,True,True,C9.4,9.492988e-06,2017-08-21T03:17:00.000,14.0,6.277141437749378e-07
57,1084.0,201708211746.0,556610220.0,1.971177425730275e-06,1.8426399037707597e-06,1.8463051674189046e-06,1.7704982155919424e-06,False,False,False,False,False,C4.8,4.8781876e-06,2017-08-21T17:57:00.000,11.0,8.822715358292044e-07
58,1113.0,201708250711.0,556918020.0,6.284200026129838e-06,5.906036676606163e-06,5.99093482378521e-06,5.56587610844872e-06,True,True,True,True,True,C8.6,8.625802e-06,2017-08-25T07:27:00.000,16.0,1.6715982553705544e-07
59,1139.0,201708271507.0,557118960.0,3.575218670448521e-06,2.306728902112809e-06,2.358537813051953e-06,1.649661612646014e-06,False,False,False,False,True,C9.7,9.706485e-06,2017-08-27T15:16:00.000,9.0,1.4872925646614021e-07
60,1184.0,201708301830.0,557390580.0,3.2789830584079027e-06,2.2604056084674085e-06,2.2835706658952404e-06,1.7209925999850384e-06,False,False,False,False,True,C8.2,8.250815e-06,2017-08-30T18:45:00.000,15.0,3.0180191856743477e-07
61,1228.0,201709021520.0,557638440.0,1.1794813872256782e-05,1.095581228582887e-05,1.1316186828480568e-05,1.0059070518764202e-05,True,True,True,True,True,M1.1,1.1840938e-05,2017-09-02T15:41:00.000,21.0,4.974916691935505e-07
62,1248.0,201709041147.0,557798640.0,1.2326556316111237e-05,1.0559401744103525e-05,1.2326556316111237e-05,1.1596904187172186e-05,True,True,True,True,True,C8.5,8.5365855e-06,2017-09-04T12:09:00.000,22.0,2.512065520932083e-06
63,1249.0,201709041212.0,557799300.0,1.2956003047293052e-05,1.2615107152669225e-05,1.2956003047293052e-05,1.2126866749895271e-05,True,True,True,True,True,M1.2,1.2260593e-05,2017-09-04T12:16:00.000,4.0,8.19435535959201e-06
65,1252.0,201709041524.0,557810940.0,5.182714176044101e-06,4.595971404341981e-06,4.621759671863401e-06,4.270671979611507e-06,True,False,False,False,True,M2.3,2.3230836e-05,2017-09-04T15:30:00.000,6.0,4.618990715243854e-06
67,1255.0,201709041716.0,557818020.0,9.394691915076692e-06,8.25342158350395e-06,9.394691915076692e-06,8.767366125539411e-06,True,True,True,True,True,C9.3,9.330422e-06,2017-09-04T17:39:00.000,23.0,2.543574964875006e-06
68,1256.0,201709041802.0,557820480.0,1.568689913256094e-05,1.3192020560381934e-05,1.5781266483827494e-05,1.4835134606983047e-05,True,True,True,True,True,C9.7,9.756558e-06,2017-09-04T18:09:00.000,7.0,5.574038823397132e-06
69,1257.0,201709041812.0,557821020.0,1.3876900084142108e-05,1.2352727935649455e-05,1.2500000593718141e-05,1.1424883268773556e-05,True,True,True,True,True,M1.5,1.5713755e-05,2017-09-04T18:22:00.000,10.0,8.038347914407495e-06
70,1258.0,201709041925.0,557825400.0,2.65968974417774e-05,2.539304841775447e-05,2.585806760180276e-05,2.4247461624327116e-05,True,True,True,True,True,M2.6,2.681511e-05,2017-09-04T19:37:00.000,12.0,1.8677559637580998e-05
71,1259.0,201709041958.0,557826180.0,1.8728394934441894e-05,1.769125992723275e-05,1.7761576600605622e-05,1.7003158063744195e-05,True,True,True,True,True,M2.3,2.38496e-05,2017-09-04T20:02:00.000,4.0,1.6233463611570187e-05
72,1260.0,201709042022.0,557828820.0,6.353528442559764e-05,5.4443928092950955e-05,5.3470903367269784e-05,5.0903367082355544e-05,True,True,True,True,True,M8.4,8.48785e-05,2017-09-04T20:33:00.000,11.0,2.0442350432858802e-05
73,1261.0,201709042209.0,557834040.0,2.3109911126084626e-05,2.2522735889651813e-05,2.2657299268757924e-05,2.2075686501921155e-05,True,True,True,True,True,M3.3,3.3068853e-05,2017-09-04T22:14:00.000,5.0,2.132465670001693e-05
74,1262.0,201709050030.0,557843580.0,1.1563871339603793e-05,9.99150415736949e-06,1.006256297841901e-05,9.144140676653478e-06,True,True,True,True,True,M1.5,1.5131646e-05,2017-09-05T00:35:00.000,5.0,8.573921149945818e-06
75,1263.0,201709050102.0,557845560.0,1.8671509678824805e-05,1.5606625311193056e-05,1.562149373057764e-05,1.3887353816244286e-05,True,True,True,True,True,M6.4,6.4639e-05,2017-09-05T01:08:00.000,6.0,6.535465217893943e-06
76,1264.0,201709050251.0,557852640.0,8.120831807900686e-06,7.976327651704196e-06,8.120831807900686e-06,7.881351848482154e-06,True,True,True,True,True,C7.4,7.409672e-06,2017-09-05T03:05:00.000,14.0,3.681186399262515e-06
77,1266.0,201709050339.0,557855040.0,1.5441006326000206e-05,1.4659376574854832e-05,1.4774355804547668e-05,1.4014957741892431e-05,True,True,True,True,True,M1.5,1.5586178e-05,2017-09-05T03:51:00.000,12.0,8.223463737522252e-06
78,1267.0,201709050427.0,557857980.0,4.259433626430109e-05,3.958042725571431e-05,4.4647971662925556e-05,4.2026396840810776e-05,True,True,True,True,True,M5.0,5.033511e-05,2017-09-05T04:53:00.000,26.0,1.2416462595865596e-05
79,1268.0,201709050633.0,557865360.0,2.2353297026711516e-05,1.7244939954252914e-05,1.7466269127908163e-05,1.4449004083871841e-05,True,True,True,True,True,M5.8,5.8656748e-05,2017-09-05T06:40:00.000,7.0,5.138183951203246e-06
80,1269.0,201709051009.0,557878620.0,5.212582436797675e-06,4.553547569230432e-06,4.6025893425394315e-06,4.1786302062973846e-06,True,False,False,False,True,C8.4,8.409007e-06,2017-09-05T10:19:00.000,10.0,2.512065975679434e-06
81,1272.0,201709051323.0,557890200.0,9.694814252725337e-06,9.104581295105163e-06,9.27284600038547e-06,8.65353285917081e-06,True,True,True,True,True,M1.0,1.0749391e-05,2017-09-05T13:34:00.000,11.0,2.0131001292611472e-06
82,1273.0,201709051605.0,557900280.0,2.9164800707803806e-06,2.5223414468200644e-06,2.556048229962471e-06,2.283470848851721e-06,False,False,False,False,True,C5.7,5.728296e-06,2017-09-05T16:19:00.000,14.0,1.4763497802050551e-06
83,1274.0,201709051711.0,557903640.0,3.672238335639122e-06,3.228252580811386e-06,3.3154051379824523e-06,2.927905143224052e-06,False,False,False,False,True,C7.0,7.0940514e-06,2017-09-05T17:15:00.000,4.0,2.2975179945206037e-06
84,1275.0,201709051737.0,557905200.0,2.3710346795269288e-05,1.950166370079387e-05,2.000250606215559e-05,1.6833431800478138e-05,True,True,True,True,True,M3.5,3.581448e-05,2017-09-05T17:43:00.000,6.0,2.347313511563698e-06
85,1285.0,201709060852.0,557960400.0,0.0003223268431611359,0.0002863968547899276,0.0003223268431611359,0.00026627976330928504,True,True,True,True,True,X3.2,0.00032232684,2017-09-06T09:10:00.000,18.0,4.288362106308341e-06
86,1286.0,201709061152.0,557970840.0,0.0014662761241197586,0.0011968655744567513,0.0012494005495682359,0.0009945001220330596,True,True,True,True,True,X14.6,0.0014662761,2017-09-06T12:02:00.000,10.0,8.1222751759924e-06
87,1287.0,201709061551.0,557984160.0,2.117463736794889e-05,2.070980735879857e-05,2.079171645164024e-05,2.0339537513791583e-05,True,True,True,True,True,M4.0,4.027113e-05,2017-09-06T15:56:00.000,5.0,1.900242205010727e-05
88,1288.0,201709061917.0,557997780.0,2.173778739233967e-05,1.8144257410313003e-05,1.8759314116323367e-05,1.559015981911216e-05,True,True,True,True,True,M2.2,2.224219e-05,2017-09-06T19:30:00.000,13.0,9.099079761654139e-06
89,1290.0,201709062329.0,558012960.0,1.2395585144986399e-05,1.1759856533899438e-05,1.229087411047658e-05,1.0924185517069418e-05,True,True,True,True,True,M1.9,1.9441684e-05,2017-09-06T23:39:00.000,10.0,5.259671979729319e-06
90,1291.0,201709070459.0,558032460.0,1.6530757420696318e-05,1.276341481570853e-05,1.31743045130861e-05,1.0534746252233163e-05,True,True,True,True,True,M3.9,3.9022256e-05,2017-09-07T05:02:00.000,3.0,1.607341005183116e-06
92,1296.0,201709070948.0,558049980.0,5.249634341453202e-06,3.831192771031056e-06,3.811828719335608e-06,3.1872295949142426e-06,True,False,False,False,True,M2.3,2.3147917e-05,2017-09-07T09:54:00.000,6.0,2.0368747755128425e-06
93,1297.0,201709071014.0,558050340.0,2.896028263421613e-06,2.8194899641675875e-06,9.511787538940553e-06,3.951113740185974e-06,False,False,True,False,True,X1.2,0.0001206636,2017-09-07T10:15:00.000,1.0,2.7608152777247597e-06
94,1298.0,201709071032.0,558051420.0,4.108860593987629e-06,3.139834689136478e-06,3.0722474093636265e-06,2.729901098064147e-06,False,False,False,False,False,C3.5,3.5937408e-06,2017-09-07T10:38:00.000,6.0,2.4813411982904654e-06
95,1302.0,201709071416.0,558066660.0,0.0001745078625390306,0.000143611992825754,0.00014574971282854676,0.00012711815361399204,True,True,True,True,True,X2.1,0.00021885491,2017-09-07T14:36:00.000,20.0,1.4748017065358e-06
96,1303.0,201709071802.0,558079740.0,7.429690413118806e-06,6.39461177343037e-06,6.650406248809304e-06,5.8868185988103505e-06,True,True,True,True,True,C7.7,7.732796e-06,2017-09-07T18:13:00.000,11.0,2.7583287192101125e-06
97,1305.0,201709071840.0,558080820.0,5.6727062656136695e-06,5.08299353896291e-06,5.702662747353315e-06,5.016546310798731e-06,True,True,True,True,True,C7.0,7.040822e-06,2017-09-07T18:44:00.000,4.0,4.6586555981775746e-06
98,1308.0,201709072124.0,558091620.0,8.528801117790863e-06,7.91371439845534e-06,8.528801117790863e-06,7.88692068454111e-06,True,True,True,True,True,C7.0,7.0059914e-06,2017-09-07T21:28:00.000,4.0,3.3932062706298893e-06
100,1312.0,201709072313.0,558098100.0,2.5740760065673385e-06,2.261292365801637e-06,2.7872142709384207e-06,2.4693556497368263e-06,False,False,False,False,True,C6.5,6.5419504e-06,2017-09-07T23:15:00.000,2.0,2.1995135739416583e-06
101,1313.0,201709072350.0,558100380.0,5.854883056599647e-05,5.2402534493012354e-05,5.250630056252703e-05,4.880222331848927e-05,True,True,True,True,True,M6.0,6.0714683e-05,2017-09-07T23:59:00.000,9.0,2.150128466382739e-06
102,1314.0,201709080136.0,558106800.0,1.6353341152353096e-06,1.452241463084647e-06,1.441271933799726e-06,1.3932036608821363e-06,False,False,False,False,True,C8.3,8.309263e-06,2017-09-08T01:40:00.000,4.0,1.5506219597227755e-06
103,1315.0,201709080218.0,558109320.0,8.837822861096356e-06,7.206391728686867e-06,7.460294909833465e-06,5.986658379697474e-06,True,True,True,True,True,M2.0,2.0416051e-05,2017-09-08T02:24:00.000,6.0,1.365269667985558e-06
104,1316.0,201709080328.0,558114060.0,1.581212359269557e-06,1.5453713331226027e-06,1.5243488178384723e-06,1.5126302059798036e-06,False,False,False,False,False,C2.2,2.2697964e-06,2017-09-08T03:34:00.000,6.0,1.2053284308422008e-06
105,1317.0,201709080339.0,558114060.0,1.581212359269557e-06,1.5321884347940795e-06,1.5323776096920483e-06,1.4802471923758276e-06,False,False,False,False,True,M1.8,1.8659419e-05,2017-09-08T03:43:00.000,4.0,1.6727922229620162e-06
106,1318.0,201709080701.0,558126480.0,1.690505428086908e-06,1.5284908840840217e-06,2.009442823691643e-06,1.69373572589393e-06,False,False,False,False,True,C9.5,9.580157e-06,2017-09-08T07:08:00.000,7.0,1.201708073494956e-06
107,1319.0,201709080717.0,558126480.0,1.690505428086908e-06,1.5284908840840217e-06,2.009442823691643e-06,1.69373572589393e-06,False,False,False,False,False,C2.4,2.418737e-06,2017-09-08T07:28:00.000,11.0,1.4482419601336005e-06
108,1320.0,201709080739.0,558128700.0,9.225960093317553e-05,7.480603380827233e-05,7.705457392148674e-05,6.353799835778773e-05,True,True,True,True,True,X1.2,0.000126714,2017-09-08T07:49:00.000,10.0,1.3854731832907419e-06
109,1324.0,201709081204.0,558144780.0,1.247755108124693e-06,1.2268466207387974e-06,1.247755108124693e-06,1.2274375649212743e-06,False,False,False,False,True,C9.1,9.155272e-06,2017-09-08T12:13:00.000,9.0,1.3004211041334202e-06
110,1326.0,201709081503.0,558155880.0,2.418849544483237e-05,2.2281148631009273e-05,2.5707091481308453e-05,2.3922082618810236e-05,True,True,True,True,True,M4.6,4.6527322e-05,2017-09-08T15:47:00.000,44.0,1.5937616808514576e-06
112,1330.0,201709082330.0,558185940.0,3.1805437174625695e-05,2.7213958674110472e-05,2.8030697649228387e-05,2.378860517637804e-05,True,True,True,True,True,M3.3,3.346909e-05,2017-09-08T23:45:00.000,15.0,1.6863218661455903e-06
114,1333.0,201709090302.0,558198360.0,8.283805073006079e-06,7.930534593469929e-06,8.029581294977106e-06,7.5500070124689955e-06,True,True,True,True,True,C9.9,9.93355e-06,2017-09-09T03:09:00.000,7.0,1.959342171176104e-06
