,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
0,[1.e-06 5.e+00],4040,1137,617,18,5,247,379,2401,0.18594436310395315,0.7158962795941376,0.7116065847051469
1,[1.e-06 1.e+01],4099,1092,708,23,10,181,349,2382,0.21114962449451186,0.7928416485900217,0.7311510031678986
2,[1.e-06 2.e+01],4444,1429,710,28,56,190,292,1695,0.2708256880733945,0.75,0.6273020257826888
3,[1.e-06 3.e+01],5585,1083,583,15,228,204,233,913,0.34288990825688076,0.5805825242718446,0.5753876608380073
4,[1.e-06 4.e+01],6307,752,464,11,390,185,209,526,0.3925619834710744,0.4523809523809524,0.5635770843036796
6,[2.5e-06 5.0e+00],6069,753,701,25,5,211,331,749,0.4019933554817276,0.7707006369426752,0.651985559566787
7,[2.5e-06 1.0e+01],6103,739,731,22,10,182,325,732,0.41602209944751384,0.7968253968253968,0.6627608934456243
8,[2.5e-06 2.0e+01],6293,755,703,29,61,205,279,519,0.47843137254901963,0.7334669338677354,0.6144578313253012
9,[2.5e-06 3.0e+01],6708,580,567,16,232,219,230,292,0.5276018099547511,0.5638297872340425,0.5803571428571429
10,[2.5e-06 4.0e+01],6998,410,450,11,393,201,204,177,0.5475059382422803,0.4369668246445498,0.5794907088781831
12,[5.e-06 5.e+00],7551,33,623,9,11,525,89,3,0.8729281767955801,0.541095890410959,0.5647425897035881
13,[5.e-06 1.e+01],7555,29,623,9,27,508,90,3,0.8717241379310345,0.5415595544130248,0.5744849445324881
14,[5.e-06 2.e+01],7562,25,565,7,118,480,85,2,0.8679817905918058,0.4888888888888889,0.5661512027491409
