,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
0,[1.e-06 5.e+00],4050,1079,656,21,6,211,375,2446,0.19353916523727843,0.7572706935123042,0.7305764411027569
1,[1.e-06 1.e+01],4133,1053,724,23,14,158,352,2387,0.21428571428571427,0.8128400435255713,0.7421758569299552
2,[1.e-06 2.e+01],5068,1211,653,23,156,164,275,1294,0.3011135857461025,0.678714859437751,0.6201657458563536
3,[1.e-06 3.e+01],6072,839,506,14,355,164,223,671,0.36775106082036774,0.5004812319538018,0.5850227554820024
6,[2.5e-06 5.0e+00],6081,737,717,25,6,191,334,753,0.405686167304538,0.7902023429179978,0.6634022488211825
7,[2.5e-06 1.0e+01],6160,716,740,22,14,176,318,698,0.42857142857142855,0.8004201680672269,0.6659176029962547
8,[2.5e-06 2.0e+01],6555,653,633,21,161,188,266,367,0.5081585081585082,0.6520438683948155,0.6047932330827067
9,[2.5e-06 3.0e+01],6923,457,490,15,359,178,221,201,0.5447680690399137,0.4846449136276392,0.5934699103713188
12,[5.e-06 5.e+00],7553,32,631,8,19,508,90,3,0.8729508196721312,0.5480274442538593,0.5754716981132075
13,[5.e-06 1.e+01],7560,26,618,7,57,486,87,3,0.8741258741258742,0.5351027397260274,0.582722086389568
14,[5.e-06 2.e+01],7565,22,498,7,264,412,74,2,0.8691910499139415,0.42760372565622357,0.5724137931034483
