,Flare_Number,Flare_ID,Trigger_Time,Max_FOXSI,Mean_FOXSI,Max_HiC,Mean_HiC,Max_FOXSI_C5,Mean_FOXSI_C5,Max_HiC_C5,Mean_HiC_C5,Flare_C5,Flare_Class,Flare_Max_Flux,Peak_Time,Start_to_Peak,Background_Flux
29,4359.0,202112240325.0,693589380.0,3.78306890524982e-06,3.0564160624635406e-06,3.120754399787984e-06,2.6215475372737274e-06,False,False,False,False,True,C7.4,7.463167e-06,2021-12-24T03:42:00.000,17.0,2.0524732917692745e-06
30,4361.0,202112240620.0,693600000.0,3.2630011901346734e-06,2.936408918685629e-06,2.9874017855036072e-06,2.7126059194415575e-06,False,False,False,False,True,C5.8,5.813569e-06,2021-12-24T06:27:00.000,7.0,1.0859407666430343e-06
31,4643.0,202201292245.0,696771060.0,1.1188731150468811e-05,1.0997168828907888e-05,1.105020783143118e-05,1.0833919077413157e-05,True,True,True,True,True,M1.1,1.1379663e-05,2022-01-29T23:32:00.000,47.0,2.775158691292745e-06
32,4789.0,202202151754.0,698220960.0,9.323045560449827e-06,8.294319741253275e-06,8.455985152977519e-06,7.562949122075224e-06,True,True,True,True,True,M1.3,1.3224835e-05,2022-02-15T18:15:00.000,21.0,8.726177611606545e-07
33,5016.0,202203281703.0,701759640.0,9.795216101338156e-06,9.342875273432583e-06,9.795216101338156e-06,8.74428133101901e-06,True,True,True,True,True,C9.8,9.88722e-06,2022-03-28T17:13:00.000,10.0,3.100841695413692e-06
34,5113.0,202204152234.0,703334820.0,4.020466803922318e-06,3.7771153529320145e-06,3.8121006582514383e-06,3.5940020097768866e-06,False,False,False,False,False,C4.4,4.416818e-06,2022-04-15T22:46:00.000,12.0,1.9564088233892107e-06
35,5142.0,202204200046.0,703687920.0,3.500872480799444e-06,3.269643229941721e-06,3.2717380236135796e-06,3.144620905004558e-06,False,False,False,False,False,C3.9,3.965269e-06,2022-04-20T00:51:00.000,5.0,2.5989361347455997e-06
36,5204.0,202204300948.0,704584740.0,1.4892183571646456e-05,9.087493708648253e-06,9.5635214165668e-06,5.737946139561245e-06,True,True,True,True,True,M4.8,4.8238868e-05,2022-04-30T09:58:00.000,10.0,2.3417669581249356e-06
37,5206.0,202204301114.0,704589900.0,4.429045475262683e-06,4.104635536350543e-06,4.429045475262683e-06,4.153916052018758e-06,False,False,False,False,True,C5.4,5.4085594e-06,2022-04-30T11:24:00.000,10.0,1.9532465103111463e-06
38,5207.0,202204301134.0,704589900.0,4.429045475262683e-06,4.104635536350543e-06,5.645259534503566e-06,4.555465693556471e-06,False,False,True,False,True,C5.7,5.743142e-06,2022-04-30T11:41:00.000,7.0,3.958583420171635e-06
