,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
0,[1.e-06 1.e-08],4006,1364,511,19,0,356,381,2207,0.1699807568954458,0.5981941309255079,0.6444811905746176
1,[1.e-06 5.e-08],4017,1259,570,21,0,316,362,2299,0.18173431734317344,0.6515986769570011,0.6737103791174642
2,[1.e-06 1.e-07],4032,1159,618,25,0,279,351,2380,0.1905749851807943,0.6973969631236443,0.701163757273483
3,[1.e-06 5.e-07],4829,1322,743,21,4,202,299,1424,0.30719742661841576,0.7876288659793814,0.6200448765893792
4,[1.e-06 1.e-06],6177,880,731,24,15,227,275,515,0.4886731391585761,0.757271815446339,0.582579185520362
6,[2.5e-06 1.0e-08],6048,794,665,26,0,271,312,728,0.3991912189485846,0.7182952182952183,0.619098712446352
7,[2.5e-06 5.0e-08],6049,793,677,26,0,259,312,728,0.40332759609868046,0.7307692307692307,0.623613595706619
8,[2.5e-06 1.0e-07],6053,784,685,26,0,251,312,733,0.4048974943052392,0.739085239085239,0.6291651737728413
9,[2.5e-06 5.0e-07],6122,782,736,24,4,215,293,668,0.44160371876815807,0.7763023493360572,0.6331861662987491
10,[2.5e-06 1.0e-06],6497,724,720,23,15,244,269,352,0.5447214076246334,0.7415169660678643,0.5849056603773585
12,[5.e-06 1.e-08],7552,33,609,9,0,551,88,2,0.8728813559322034,0.5286569717707442,0.5479876160990712
13,[5.e-06 5.e-08],7552,33,610,9,0,551,87,2,0.8742937853107344,0.5290598290598291,0.5479876160990712
14,[5.e-06 1.e-07],7552,33,610,9,0,552,86,2,0.8755304101838756,0.5286080273270709,0.5472136222910217
15,[5.e-06 5.e-07],7553,32,617,9,13,530,88,2,0.8743016759776536,0.5355004277159966,0.5602503912363067
16,[5.e-06 1.e-06],7557,30,612,8,30,517,89,1,0.8732394366197183,0.5312767780634104,0.5648369132856006
