,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
0,[1.e-06 1.e-08],4004,1320,439,15,0,333,476,2257,0.14245371823031064,0.576874205844981,0.6584710743801653
1,[1.e-06 5.e-08],4024,1131,558,16,0,278,412,2425,0.1682790970389915,0.6737089201877934,0.7076763485477179
2,[1.e-06 1.e-07],4083,1034,637,22,0,227,384,2457,0.18828571428571428,0.7437923250564334,0.7351396765385423
3,[1.e-06 5.e-07],5700,954,763,27,16,159,310,915,0.3920595533498759,0.8186528497409327,0.6441815856777494
4,[1.e-06 1.e-06],6839,501,660,15,127,210,251,241,0.5784061696658098,0.6669960474308301,0.6214057507987221
6,[2.5e-06 1.0e-08],6046,778,644,23,0,253,351,749,0.377475947934352,0.725,0.6315225160829163
7,[2.5e-06 5.0e-08],6050,767,668,22,0,232,348,757,0.38440111420612816,0.7483731019522777,0.6424481030780244
8,[2.5e-06 1.0e-07],6064,751,690,24,0,221,337,757,0.39491150442477874,0.7636363636363637,0.6503597122302158
9,[2.5e-06 5.0e-07],6410,678,748,27,16,180,304,481,0.4967948717948718,0.7981462409886715,0.6451612903225806
10,[2.5e-06 1.0e-06],6983,430,652,14,127,222,247,169,0.6155268022181146,0.6561576354679803,0.6239907727797002
12,[5.e-06 1.e-08],7550,35,620,8,0,537,91,3,0.8698060941828255,0.5390557939914163,0.5579598145285936
13,[5.e-06 5.e-08],7550,35,623,8,0,534,91,3,0.8703448275862069,0.5416309012875536,0.5602782071097373
14,[5.e-06 1.e-07],7550,34,625,9,2,530,91,3,0.8708791208791209,0.5437392795883362,0.5634674922600619
15,[5.e-06 5.e-07],7559,27,625,7,48,486,89,3,0.8729281767955801,0.5420240137221269,0.5852869846402587
16,[5.e-06 1.e-06],7565,22,560,7,181,428,79,2,0.875,0.48214285714285715,0.5901639344262295
