,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
8,[5.e-06 1.e+47],7558,30,506,6,52,641,49,2,0.9094138543516874,0.42489626556016596,0.45623987034035657
9,[5.e-06 3.e+47],7560,30,495,5,87,619,47,1,0.9124087591240876,0.41459369817578773,0.4578111946532999
