,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
5,[1.e-06 5.e+01],6824,477,365,9,570,167,146,286,0.4640198511166253,0.33663366336633666,0.5558620689655173
11,[2.5e-06 5.0e+01],7228,269,349,9,572,184,143,90,0.6057529610829103,0.3213644524236984,0.5660919540229885
15,[5.e-06 3.e+01],7565,23,460,6,304,414,70,2,0.8661710037174721,0.3935810810810811,0.5517948717948717
16,[5.e-06 4.e+01],7569,19,371,6,475,346,56,2,0.8666666666666667,0.31469115191986646,0.54375
17,[5.e-06 5.e+01],7572,16,290,6,634,281,43,2,0.8680351906158358,0.2444260941370768,0.5344827586206896
18,[7.5e-06 5.0e+00],7581,10,422,5,517,297,12,0,0.9726651480637813,0.3440773569701853,0.5884718498659517
19,[7.5e-06 1.0e+01],7582,9,415,5,531,290,12,0,0.9722222222222222,0.33843674456083805,0.5909712722298222
20,[7.5e-06 2.0e+01],7582,9,380,5,588,268,12,0,0.9697732997481109,0.31023368251410155,0.5890207715133531
21,[7.5e-06 3.0e+01],7583,8,309,5,679,248,12,0,0.9631901840490797,0.25302175664786464,0.5601374570446735
22,[7.5e-06 4.0e+01],7583,8,266,5,761,210,11,0,0.9609929078014184,0.2181964573268921,0.564
23,[7.5e-06 5.0e+01],7583,8,221,5,835,181,11,0,0.9535864978902954,0.1819645732689211,0.5563380281690141
