,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
0,[1.e-06 1.e-08],4005,1365,484,16,0,351,413,2210,0.1601024655779699,0.5875440658049353,0.6453812771233726
1,[1.e-06 5.e-08],4016,1237,565,18,0,302,381,2325,0.17725752508361203,0.6587570621468927,0.6812344656172328
2,[1.e-06 1.e-07],4034,1160,612,21,1,268,367,2381,0.18722271517302574,0.7017738359201774,0.7030567685589519
3,[1.e-06 5.e-07],4992,1234,749,22,4,189,306,1348,0.3179381443298969,0.799792531120332,0.6301975051975052
4,[1.e-06 1.e-06],6320,802,728,18,22,222,276,456,0.5047361299052774,0.7535353535353535,0.5907274180655475
6,[2.5e-06 1.0e-08],6047,800,664,23,0,261,323,726,0.3957373271889401,0.7246835443037974,0.6206649982123704
7,[2.5e-06 5.0e-08],6048,792,676,24,0,250,322,732,0.3990877993158495,0.7368421052631579,0.6273247496423462
8,[2.5e-06 1.0e-07],6053,782,684,24,1,241,322,737,0.400679117147708,0.7452631578947368,0.6333333333333333
9,[2.5e-06 5.0e-07],6146,773,744,25,4,202,298,652,0.44735311227457825,0.7887179487179488,0.6380846325167038
10,[2.5e-06 1.0e-06],6587,678,717,18,22,237,272,313,0.5568181818181818,0.7394366197183099,0.5906040268456376
12,[5.e-06 1.e-08],7550,36,613,8,0,546,89,2,0.8721910112359551,0.532133676092545,0.5502318392581144
13,[5.e-06 5.e-08],7550,36,614,8,0,545,89,2,0.8723702664796634,0.5329905741216795,0.5510046367851623
14,[5.e-06 1.e-07],7551,35,614,8,1,545,88,2,0.8735955056179775,0.5325342465753424,0.5510835913312694
15,[5.e-06 5.e-07],7556,29,619,9,15,526,88,2,0.8746518105849582,0.5372112917023096,0.5640219952867243
16,[5.e-06 1.e-06],7560,28,613,7,42,505,88,1,0.8744710860366713,0.5312767780634104,0.57085346215781
