,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
1,[1.e-06 1.e-01],4141,1639,396,15,0,533,319,1801,0.1623864085341762,0.4353813559322034,0.5381671273655114
5,[2.5e-06 5.0e-02],6051,864,514,18,0,443,291,663,0.35800807537012114,0.5456410256410257,0.5320443967060509
6,[2.5e-06 1.0e-01],6091,849,568,22,0,398,282,634,0.39176626826029215,0.597165991902834,0.5470395931710861
10,[5.e-06 5.e-02],7551,35,564,8,1,599,84,2,0.8693009118541033,0.4880546075085324,0.5092879256965944
11,[5.e-06 1.e-01],7552,34,567,9,13,584,84,1,0.8714069591527988,0.49104859335038364,0.5168100078186083
