,Flare_Number,Flare_ID,Trigger_Time,Cancelled?,Max_FOXSI,Mean_FOXSI,Max_HiC,Mean_HiC,Max_FOXSI_and_HiC_C5,Max_FOXSI_C5,Mean_FOXSI_C5,Max_HiC_C5,Mean_HiC_C5,Flare_C5,Flare_C5_10min,Flare_Class,Flare_Max_Flux,Peak_Time,Start_to_Peak,Background_Flux
29,871,201707160205,553443600.0,True,4.5387964746623766e-06,4.464371613721596e-06,4.7956095841072965e-06,4.565862127492437e-06,False,False,False,False,False,False,False,C4.5,4.5257957e-06,2017-07-16T02:21:00.000,16.0,3.540683565006475e-06
30,872,201707160230,553443600.0,True,4.5387964746623766e-06,4.464371613721596e-06,4.7956095841072965e-06,4.565862127492437e-06,False,False,False,False,False,False,False,C4.7,4.7848002e-06,2017-07-16T02:35:00.000,5.0,4.429021373653086e-06
31,911,201707182352,553694880.0,True,2.8307679258432472e-06,2.4199805466196267e-06,2.489489361323649e-06,2.120701310559525e-06,False,False,False,False,False,False,False,C4.3,4.3501154e-06,2017-07-19T00:06:00.000,14.0,5.737687729379104e-07
32,1039,201708181944,556358580.0,True,6.180847321957117e-06,5.799993687105598e-06,5.895238246012013e-06,5.480267191160237e-06,True,True,True,True,True,True,True,C6.9,6.9565394e-06,2017-08-18T20:02:00.000,18.0,6.333386863843771e-07
33,1043,201708190126,556378740.0,True,3.963558810937684e-06,3.366139253557776e-06,3.460510924924165e-06,2.940818603747175e-06,False,False,False,False,False,True,False,C5.5,5.571371e-06,2017-08-19T01:37:00.000,11.0,5.053243512520567e-07
34,1045,201708190406,556388760.0,True,3.270437218816369e-06,3.176476411681506e-06,3.17741978506092e-06,3.1347592539532343e-06,False,False,False,False,False,False,False,C3.8,3.840988e-06,2017-08-19T04:24:00.000,18.0,8.329762977155042e-07
35,1046,201708190439,556388760.0,True,3.270437218816369e-06,3.148998075630516e-06,3.222687610104913e-06,3.1201868750940775e-06,False,False,False,False,False,True,False,C5.0,5.0120934e-06,2017-08-19T04:51:00.000,12.0,2.9987820653332165e-06
36,1062,201708200134,556465980.0,True,1.1151448234159034e-05,9.356605005450547e-06,9.625097845855635e-06,8.110627277346794e-06,True,True,True,True,True,True,True,M1.8,1.8591947e-05,2017-08-20T01:52:00.000,18.0,8.63975401443895e-07
38,1088,201708212232,556627140.0,True,2.1511991690204013e-06,2.0058926111232722e-06,2.0341312847449444e-06,1.897598963296332e-06,False,False,False,False,False,False,False,C2.4,2.4851793e-06,2017-08-21T22:38:00.000,6.0,2.169512754335301e-06
39,1096,201708221924,556702680.0,True,1.1271993116679369e-06,1.025501660478767e-06,1.0103360637003789e-06,9.784251915334607e-07,False,False,False,False,False,False,False,,3.0919498e-06,2017-08-22T19:37:00.000,13.0,5.651795049743669e-07
40,1158,201708290250,557247660.0,True,2.223018555014278e-06,1.918409225254436e-06,1.9534468265192118e-06,1.729297196106927e-06,False,False,False,False,False,False,False,C4.4,4.4283224e-06,2017-08-29T03:00:00.000,10.0,6.662507985311095e-07
41,1211,201709011530,557552280.0,True,1.7903781781569705e-06,1.48015476497676e-06,1.5080205457707052e-06,1.3405273193711764e-06,False,False,False,False,False,False,False,C3.1,3.181262e-06,2017-09-01T15:37:00.000,7.0,6.456880328187253e-07
42,1228,201709021520,557638920.0,True,8.353309567610268e-06,7.316217761399457e-06,7.482056389562786e-06,6.611213848373154e-06,True,True,True,True,True,True,True,M1.1,1.1840938e-05,2017-09-02T15:41:00.000,21.0,4.974916691935505e-07
43,1244,201709040804,557784960.0,False,3.5334610402060207e-06,3.389499852346489e-06,3.366947566973977e-06,3.3259073006774997e-06,False,False,False,False,False,False,False,C3.5,3.5656262e-06,2017-09-04T08:14:00.000,10.0,1.9777230590989348e-06
44,1245,201709040845,557786340.0,True,4.147607796767261e-06,3.781726945817354e-06,4.147607796767261e-06,3.864326117763994e-06,False,False,False,False,False,False,False,C4.0,4.096997e-06,2017-09-04T08:50:00.000,5.0,2.8444089821277885e-06
