,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
4,[1.e-06 1.e-06],7556,20,284,6,780,161,23,14,0.8868501529051988,0.2355808285946385,0.6437007874015748
5,[1.e-06 5.e-06],7590,4,81,0,1138,28,1,2,0.9642857142857143,0.06495589414595028,0.7241379310344828
10,[2.5e-06 1.0e-06],7580,8,283,6,781,162,22,2,0.9233226837060703,0.23457792207792208,0.6480331262939959
11,[2.5e-06 5.0e-06],7596,0,80,0,1139,28,1,0,0.9876543209876543,0.06415396952686447,0.7431192660550459
15,[5.e-06 5.e-07],7571,17,466,7,406,328,48,1,0.9061302681992337,0.39188069594034797,0.6020761245674741
16,[5.e-06 1.e-06],7582,7,282,6,784,163,19,1,0.935064935064935,0.23319838056680162,0.6443514644351465
17,[5.e-06 5.e-06],7572,12,81,0,1137,28,2,12,0.8526315789473684,0.06500802568218299,0.7037037037037037
18,[7.5e-06 1.0e-08],7583,8,419,5,516,301,12,0,0.9724770642201835,0.3416599516518936,0.5852348993288591
19,[7.5e-06 5.0e-08],7583,8,423,5,523,290,12,0,0.9727272727272728,0.3448831587429492,0.5962059620596206
20,[7.5e-06 1.0e-07],7583,8,423,5,527,286,12,0,0.9727272727272728,0.3448831587429492,0.5994550408719346
21,[7.5e-06 5.0e-07],7583,8,365,5,619,253,11,0,0.9711286089238845,0.29790660225442833,0.5934579439252337
22,[7.5e-06 1.0e-06],7583,8,261,5,806,171,10,0,0.9637681159420289,0.21399839098954143,0.6065934065934065
23,[7.5e-06 5.0e-06],7596,0,79,0,1141,28,0,0,1.0,0.06330128205128205,0.7383177570093458
