,Flare_Number,Flare_ID,Trigger_Time,Max_FOXSI,Mean_FOXSI,Max_HiC,Mean_HiC,Max_FOXSI_C5,Mean_FOXSI_C5,Max_HiC_C5,Mean_HiC_C5,Flare_C5,Flare_Class,Flare_Max_Flux,Peak_Time,Start_to_Peak,Background_Flux
26,79.0,201702262136.0,541418280.0,1.311922801505716e-07,1.2743070954002178e-07,1.2761418588524975e-07,1.2615457478659664e-07,False,False,False,False,False,B1.0,1.0583671e-07,2017-02-26T21:41:00.000,5.0,7.180391037309164e-08
27,80.0,201702262306.0,541422300.0,4.940412736686994e-07,3.107135739810474e-07,4.940412736686994e-07,3.903761580659193e-07,False,False,False,False,False,B4.5,4.518865e-07,2017-02-26T23:18:00.000,12.0,7.329981599468738e-08
28,84.0,201702270452.0,541442460.0,9.159091263200025e-08,9.063763428684979e-08,9.302528525267917e-08,9.109636067705651e-08,False,False,False,False,False,B1.8,1.834505e-07,2017-02-27T05:00:00.000,8.0,6.91312749268036e-08
29,85.0,201702270746.0,541459920.0,1.1613602168836223e-07,1.1305571234743184e-07,1.1350709883117815e-07,1.1127360011187193e-07,False,False,False,False,False,B1.3,1.3612791e-07,2017-02-27T07:57:00.000,11.0,8.748690305537821e-08
30,91.0,201702272002.0,541498020.0,1.4167787867336301e-06,1.3039261830272153e-06,1.4167787867336301e-06,1.2020196891171508e-06,False,False,False,False,False,C1.4,1.400656e-06,2017-02-27T20:17:00.000,15.0,1.0835245944917915e-07
31,92.0,201702272134.0,541503060.0,3.8588186157539894e-07,3.0346652124535467e-07,3.027005845979147e-07,2.6216437731818587e-07,False,False,False,False,False,B3.6,3.6889418e-07,2017-02-27T21:39:00.000,5.0,1.818744124193472e-07
32,99.0,201702280426.0,541530720.0,1.62148140248064e-07,1.4491379829451034e-07,1.62148140248064e-07,1.4979779905388568e-07,False,False,False,False,False,B4.6,4.6489683e-07,2017-02-28T04:38:00.000,12.0,1.0955520224342763e-07
34,102.0,201702281809.0,541580700.0,1.4254807467750652e-07,1.3859454384146375e-07,1.3940174881099665e-07,1.3798778297768877e-07,False,False,False,False,False,B2.1,2.1357008e-07,2017-02-28T18:19:00.000,10.0,1.1125625576369202e-07
35,103.0,201703020021.0,541685640.0,1.613225180108202e-07,1.3202588888816535e-07,1.7976273625208705e-07,1.5354508775544673e-07,False,False,False,False,False,B1.7,1.7976274e-07,2017-03-02T00:29:00.000,8.0,1.0467216782217292e-07
37,109.0,201703021036.0,541723260.0,4.788375349562557e-07,4.266189534973819e-07,4.3141670857949066e-07,3.959879677495337e-07,False,False,False,False,False,B4.7,4.7883753e-07,2017-03-02T10:49:00.000,13.0,1.2552155226330797e-07
38,110.0,201703021329.0,541737240.0,3.233169536542846e-07,3.147438007999881e-07,3.233169536542846e-07,3.114735989129258e-07,False,False,False,False,False,B5.6,5.612398e-07,2017-03-02T13:45:00.000,16.0,2.928073854491231e-07
40,117.0,201703031944.0,541846260.0,1.6407659586548107e-07,1.6076513986718055e-07,1.6094311661163374e-07,1.592381977388868e-07,False,False,False,False,False,B1.7,1.7511145e-07,2017-03-03T19:55:00.000,11.0,7.367115273382296e-08
41,119.0,201703032120.0,541852020.0,1.7605846380774892e-07,1.7432337529044162e-07,1.7605846380774892e-07,1.736130030849381e-07,False,False,False,False,False,B2.0,2.0489195e-07,2017-03-03T21:47:00.000,27.0,9.583553861602923e-08
42,126.0,201703042252.0,541940760.0,1.8249805577852385e-07,1.7139380759090272e-07,1.7849970390670933e-07,1.6367850719234411e-07,False,False,False,False,False,B2.4,2.4652476e-07,2017-03-04T23:00:00.000,8.0,1.4090014133216755e-07
43,127.0,201703050013.0,541945020.0,1.600644594645928e-07,1.571969505675952e-07,1.5956220522639342e-07,1.4882307652896998e-07,False,False,False,False,False,B1.6,1.6701505e-07,2017-03-05T00:22:00.000,9.0,1.0594414590059387e-07
45,129.0,201703060013.0,542030640.0,1.470066024467087e-07,1.252467569656801e-07,1.5653878904231533e-07,1.4106522883139405e-07,False,False,False,False,False,B1.5,1.5653879e-07,2017-03-06T00:18:00.000,5.0,1.0759512036884189e-07
46,131.0,201703061017.0,542067480.0,1.3678048560450407e-07,1.2463995346934098e-07,1.3035811718964396e-07,1.1420368650760793e-07,False,False,False,False,False,B1.3,1.3678049e-07,2017-03-06T10:27:00.000,10.0,6.19045650296357e-08
47,132.0,201703061156.0,542072580.0,1.3571299462000752e-07,1.329123193727355e-07,1.464763812464298e-07,1.3691776246105292e-07,False,False,False,False,False,B2.9,2.9141e-07,2017-03-06T12:04:00.000,8.0,1.3268733312088443e-07
48,133.0,201703061415.0,542082720.0,1.4658567693004443e-07,1.3914106489210099e-07,1.4658567693004443e-07,1.4658567693004443e-07,False,False,False,False,False,B2.0,2.015437e-07,2017-03-06T14:21:00.000,6.0,1.4371538270552264e-07
49,134.0,201703061853.0,542098500.0,2.1582604858849663e-07,2.1194357202602987e-07,2.1582604858849663e-07,2.0826661284445436e-07,False,False,False,False,False,B2.1,2.1582605e-07,2017-03-06T19:07:00.000,14.0,1.1816744915904565e-07
50,135.0,201703081433.0,542254740.0,1.5349966986377694e-07,1.5004182785105513e-07,1.507006430756519e-07,1.471856165835561e-07,False,False,False,False,False,B2.0,2.0380912e-07,2017-03-08T14:39:00.000,6.0,1.417838575434871e-07
51,136.0,201703081943.0,542273760.0,2.1926959448137495e-07,1.576319306195728e-07,2.260863141145819e-07,1.8856867711747327e-07,False,False,False,False,False,B3.7,3.7879448e-07,2017-03-08T19:55:00.000,12.0,1.11429876881175e-07
52,140.0,201703101104.0,542416860.0,1.305021157804731e-07,1.2946921401635336e-07,1.2945446314915898e-07,1.2945446314915898e-07,False,False,False,False,False,B1.4,1.406825e-07,2017-03-10T11:10:00.000,6.0,1.3006868471165944e-07
53,141.0,201703201549.0,543296880.0,1.8804114176873554e-07,1.6981408634819672e-07,1.8804114176873554e-07,1.7908877225636388e-07,False,False,False,False,False,B1.8,1.8452793e-07,2017-03-20T16:00:00.000,11.0,3.2035387675932725e-08
54,142.0,201703221709.0,543473760.0,1.4749655008472473e-07,1.334343124881343e-07,1.8311510530111264e-07,1.5121698027087405e-07,False,False,False,False,False,B1.0,1.0504197e-07,2017-03-22T17:16:00.000,7.0,4.192638769495716e-08
55,143.0,201703221839.0,543479640.0,3.077709322951705e-07,2.5827566219049913e-07,4.077642188349273e-07,3.0854732813168084e-07,False,False,False,False,False,B4.5,4.5275783e-07,2017-03-22T18:58:00.000,19.0,1.1972080926625495e-07
56,149.0,201703260225.0,543766980.0,6.112973665040045e-07,4.0903933040681295e-07,6.112973665040045e-07,4.841573399971821e-07,False,False,False,False,False,B5.7,5.780453e-07,2017-03-26T02:34:00.000,9.0,5.089462717933202e-08
57,154.0,201703261554.0,543814920.0,1.8855999428524228e-07,1.8488985631393007e-07,2.749151803982386e-07,2.0798654531972716e-07,False,False,False,False,False,B2.6,2.621761e-07,2017-03-26T15:58:00.000,4.0,1.358177712518227e-07
