,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
0,5,78,1792,632,18,6,225,385,5708,0.09639626279104256,0.7377979568671964,0.7697488584474886
1,10,213,1830,711,20,14,166,357,5533,0.11040628303881589,0.8024149286498353,0.7683648601601485
2,20,2289,2273,652,23,155,159,282,3011,0.1701108870967742,0.6825075834175935,0.62
3,30,4505,1531,506,13,354,161,227,1547,0.22634103794156127,0.5019342359767892,0.5754077791718946
