,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
16,[5.e-06 4.e+01],7567,22,460,6,316,405,67,1,0.8726591760299626,0.392586352148273,0.5556711758584808
17,[5.e-06 5.e+01],7569,20,375,6,440,377,56,1,0.8698630136986302,0.31803005008347246,0.5245508982035928
18,[7.5e-06 5.0e+00],7583,8,416,5,514,306,12,0,0.9722863741339491,0.33924254633360196,0.5796519410977242
19,[7.5e-06 1.0e+01],7583,8,413,5,520,303,12,0,0.9720930232558139,0.33682514101531025,0.5802968960863698
20,[7.5e-06 2.0e+01],7583,8,402,5,545,289,12,0,0.9713603818615751,0.3279613215149073,0.585195530726257
21,[7.5e-06 3.0e+01],7583,8,365,5,588,284,11,0,0.9711286089238845,0.29790660225442833,0.5661218424962853
22,[7.5e-06 4.0e+01],7583,8,321,5,663,253,11,0,0.9673590504451038,0.26247987117552335,0.5635451505016722
23,[7.5e-06 5.0e+01],7583,8,277,5,736,224,11,0,0.962457337883959,0.22705314009661837,0.5580952380952381
